video_id,title,description,channel_id,channel_title,published_at,category_id,tags,default_language,duration_iso,duration_sec,definition,caption,view_count,like_count,comment_count,favorite_count,topic_categories,fetched_at
K6XB40il9b0,你每天都睡觉，但你真的会睡觉吗？ #健身 #健身知识 #健身教学,"🚩终生自然健身 健康 形体 极致
🚩训练理念技巧精粹请看合集可以帮到你
#健身  #健身知识 #健身教学 #增肌 #干货分享",UCR3AfPTfmLWjvLgc_xQuJGw,挖掘肌讲健身,2026-05-27T06:28:56Z,17,健身|健身知识|健身教学|增肌|干货分享,zh,PT2M49S,169,hd,False,214,4,0.0,0,https://en.wikipedia.org/wiki/Health|https://en.wikipedia.org/wiki/Lifestyle_(sociology),2026-05-27T06:46:46.073399+00:00
SnkKhTdB0GE,现在行业这么内卷的吗？鼓手的肌肉维度都需要这么大 #健身 #健身知识 #健身教学,"🚩终生自然健身 健康 形体 极致
🚩训练理念技巧精粹请看合集可以帮到你
#健身  #健身知识 #健身教学 #增肌 #干货分享",UCR3AfPTfmLWjvLgc_xQuJGw,挖掘肌讲健身,2026-05-27T04:24:39Z,17,健身|健身知识|健身教学|增肌|干货分享,zh,PT1M50S,110,hd,False,637,22,0.0,0,https://en.wikipedia.org/wiki/Entertainment|https://en.wikipedia.org/wiki/Health,2026-05-27T06:46:46.073399+00:00
latsKfLt08o,全网最详细的杠铃卧推教程#健身 #健身知识 #健身教学,"🚩终生自然健身 健康 形体 极致
🚩训练理念技巧精粹请看合集可以帮到你
#健身  #健身知识 #健身教学 #增肌 #干货分享",UCR3AfPTfmLWjvLgc_xQuJGw,挖掘肌讲健身,2026-05-27T04:18:45Z,17,健身|健身知识|健身教学|增肌|干货分享,zh,PT2M25S,145,hd,False,733,25,0.0,0,https://en.wikipedia.org/wiki/Health|https://en.wikipedia.org/wiki/Lifestyle_(sociology)|https://en.wikipedia.org/wiki/Physical_fitness,2026-05-27T06:46:46.073399+00:00
QfqXBCVqh40,最高效的5个胸肌训练动作 #健身 #健身知识 #健身教学,"🚩终生自然健身 健康 形体 极致
🚩训练理念技巧精粹请看合集可以帮到你
#健身  #健身知识 #健身教学 #增肌 #干货分享",UCR3AfPTfmLWjvLgc_xQuJGw,挖掘肌讲健身,2026-05-27T03:41:05Z,17,健身|健身知识|健身教学|增肌|干货分享,zh,PT1M52S,112,hd,False,907,20,0.0,0,https://en.wikipedia.org/wiki/Health|https://en.wikipedia.org/wiki/Lifestyle_(sociology)|https://en.wikipedia.org/wiki/Physical_fitness,2026-05-27T06:46:46.073399+00:00
eex6cH3E0rQ,练个胸没力竭，把造型给摆力竭了 #健身 #健身知识 #健身教学,"🚩终生自然健身 健康 形体 极致
🚩训练理念技巧精粹请看合集可以帮到你
#健身  #健身知识 #健身教学 #增肌 #干货分享",UCR3AfPTfmLWjvLgc_xQuJGw,挖掘肌讲健身,2026-05-26T06:21:40Z,17,健身|健身知识|健身教学|增肌|干货分享,zh,PT2M,120,hd,False,1534,40,0.0,0,https://en.wikipedia.org/wiki/Health|https://en.wikipedia.org/wiki/Lifestyle_(sociology)|https://en.wikipedia.org/wiki/Physical_fitness,2026-05-27T06:46:46.073399+00:00
BS7m_q_934I,罗尼刚进健身房臂围就很恐怖 #健身 #健身知识 #健身教学,"🚩终生自然健身 健康 形体 极致
🚩训练理念技巧精粹请看合集可以帮到你
#健身  #健身知识 #健身教学 #增肌 #干货分享",UCR3AfPTfmLWjvLgc_xQuJGw,挖掘肌讲健身,2026-05-26T03:49:07Z,17,健身|健身知识|健身教学|增肌|干货分享,zh,PT1M43S,103,hd,False,877,21,3.0,0,https://en.wikipedia.org/wiki/Health|https://en.wikipedia.org/wiki/Lifestyle_(sociology)|https://en.wikipedia.org/wiki/Physical_fitness,2026-05-27T06:46:46.073399+00:00
uaxV6GM6dlE,互联网上哪个练臀动作最火 #健身 #健身知识 #健身教学,"🚩终生自然健身 健康 形体 极致
🚩训练理念技巧精粹请看合集可以帮到你
#健身  #健身知识 #健身教学 #增肌 #干货分享",UCR3AfPTfmLWjvLgc_xQuJGw,挖掘肌讲健身,2026-05-25T13:19:12Z,17,健身|健身知识|健身教学|增肌|干货分享,zh,PT46S,46,hd,False,3406,36,0.0,0,https://en.wikipedia.org/wiki/Health|https://en.wikipedia.org/wiki/Lifestyle_(sociology)|https://en.wikipedia.org/wiki/Physical_fitness,2026-05-27T06:46:46.073399+00:00
w--WPdjWit0,谭成义首个自然古典PRO #健身 #健身知识 #健身教学,"🚩终生自然健身 健康 形体 极致
🚩训练理念技巧精粹请看合集可以帮到你
#健身  #健身知识 #健身教学 #增肌 #干货分享",UCR3AfPTfmLWjvLgc_xQuJGw,挖掘肌讲健身,2026-05-25T12:02:28Z,17,健身|健身知识|健身教学|增肌|干货分享,zh,PT2M24S,144,hd,False,1346,30,0.0,0,https://en.wikipedia.org/wiki/Health|https://en.wikipedia.org/wiki/Lifestyle_(sociology)|https://en.wikipedia.org/wiki/Physical_fitness,2026-05-27T06:46:46.073399+00:00
F1MBowSt7Ts,尼克沃克背部训练 #健身 #健身知识 #健身教学,"🚩终生自然健身 健康 形体 极致
🚩训练理念技巧精粹请看合集可以帮到你
#健身  #健身知识 #健身教学 #增肌 #干货分享",UCR3AfPTfmLWjvLgc_xQuJGw,挖掘肌讲健身,2026-05-25T11:21:26Z,17,健身|健身知识|健身教学|增肌|干货分享,zh,PT2M13S,133,hd,False,2169,66,0.0,0,https://en.wikipedia.org/wiki/Health|https://en.wikipedia.org/wiki/Lifestyle_(sociology)|https://en.wikipedia.org/wiki/Physical_fitness,2026-05-27T06:46:46.073399+00:00
VS-lj2vjb_U,中国健美谨勃成长的黄金岁月#健身  #健身知识 #健身教学,"🚩终生自然健身 健康 形体 极致
🚩训练理念技巧精粹请看合集可以帮到你
#健身  #健身知识 #健身教学 #增肌 #干货分享",UCR3AfPTfmLWjvLgc_xQuJGw,挖掘肌讲健身,2026-05-25T10:21:25Z,17,健身|健身知识|健身教学|增肌|干货分享,zh,PT5M38S,338,hd,False,241,1,0.0,0,https://en.wikipedia.org/wiki/Physical_fitness,2026-05-27T06:46:46.073399+00:00
