channel_id,title,description,custom_url,country,published_at,view_count,subscriber_count,hidden_subscriber_count,video_count,uploads_playlist_id,fetched_at
UCBbir2eIPBTxf6OJfFpuDDg,卷毛懂个球,"🏀「卷毛懂个球」——野球场真实人类观察实录来啦！  

这里是把篮球场搬进段子工厂的神奇频道✨～我是卷毛，专拍让篮球人疯狂点头的“人间真实”！从球场迷惑行为到硬核吐槽，用剧情演绎撕开野球圈的搞笑面具！  

💥 有没有被“装备党”支配的恐惧？遇到过“空气犯规”的迷惑操作？这里全是你在球场不敢说的大实话！想找球场同款快乐？速戳订阅+小铃铛🔔，一起围观篮球圈的真实魔幻现实主义！  

所有视频取得中国大陆创作者授权，严格遵守平台规定，内容无不良引导，请勿模仿！
",@juanmaodonggeqiu,HK,2025-09-28T08:28:03.89005Z,7521521,5030,False,697,UUBbir2eIPBTxf6OJfFpuDDg,2026-05-27T06:48:59.618040+00:00
UCTM8ANBTPdIvhY7AUxR1rjQ,俊鸿TV,"欢迎来到【俊鸿TV】频道！🏀🎨
频道视频已取得视频创作者授权，严格遵守平台规定🛡️

📢 你的每一条评论和点赞都是我们创作的动力源泉，如果你喜欢我们的内容，请务必订阅频道，并点击小铃铛图标🔔，这样你就不会错过任何一场精彩的球场艺术展示。分享你的想法和建议，让我们一起在球场上探索更多艺术灵感吧！🌟

加入【俊鸿TV】的艺术篮球之旅，与我们一起在球场上创作属于自己的艺术作品吧！🎉


",@junhongtv,HK,2020-11-16T14:04:27.323489Z,177274284,69300,False,1386,UUTM8ANBTPdIvhY7AUxR1rjQ,2026-05-27T06:48:59.618040+00:00
