video_id,title,description,channel_id,channel_title,published_at,category_id,tags,default_language,duration_iso,duration_sec,definition,caption,view_count,like_count,comment_count,favorite_count,topic_categories,fetched_at
_Vhm6kQnOu4,台中200元吃到飽🫪#吃到飽 #台中 #台中美食 #西屯美食 #西屯區 #台中吃到飽 #台中餐廳 #美食推薦,,UCQJd1ml61TlWmhermCfDKCg,E ating,2026-05-25T03:58:47Z,22,,zh,PT28S,28,hd,False,7512,129.0,0.0,0,https://en.wikipedia.org/wiki/Food|https://en.wikipedia.org/wiki/Lifestyle_(sociology),2026-05-27T06:51:10.317309+00:00
H5d_GOWeP_A,台中不一樣丼飯❤️#丼飯 #台中美食 #台中 #台中餐廳 #台中必吃 #南屯美食 #南屯,,UCQJd1ml61TlWmhermCfDKCg,E ating,2026-05-21T04:07:45Z,22,,zh-Hant,PT28S,28,hd,False,4695,68.0,1.0,0,https://en.wikipedia.org/wiki/Food|https://en.wikipedia.org/wiki/Lifestyle_(sociology),2026-05-27T06:51:10.317309+00:00
OK0v1-U_L1E,超猛泰式小吃 #彰化 #彰化美食 #員林 #員林美食 #台中 #台中美食 #泰式 #泰式料理 #打拋豬 #泰奶,,UCQJd1ml61TlWmhermCfDKCg,E ating,2026-05-20T03:22:14Z,22,,zh-Hant,PT24S,24,hd,False,3296,57.0,4.0,0,https://en.wikipedia.org/wiki/Food|https://en.wikipedia.org/wiki/Lifestyle_(sociology),2026-05-27T06:51:10.317309+00:00
sx5wJrIO2Uw,台中168元吃到飽🫪#台中美食 #吃到飽 #台中吃到飽 #逢甲美食 #一中美食 #太平美食 #台中 #逢甲,,UCQJd1ml61TlWmhermCfDKCg,E ating,2026-05-19T04:24:53Z,22,,zh-Hant,PT31S,31,hd,False,13193,206.0,11.0,0,https://en.wikipedia.org/wiki/Food|https://en.wikipedia.org/wiki/Lifestyle_(sociology),2026-05-27T06:51:10.317309+00:00
gOPMxh724_Y,台中牛肉麵😋#牛肉麵 #小吃 #台中小吃 #台中美食 #勤美美食 #台中必吃 #巷弄美食 #西區美食,,UCQJd1ml61TlWmhermCfDKCg,E ating,2026-05-15T03:47:22Z,22,,zh-Hant,PT28S,28,hd,False,12043,140.0,1.0,0,https://en.wikipedia.org/wiki/Food|https://en.wikipedia.org/wiki/Lifestyle_(sociology),2026-05-27T06:51:10.317309+00:00
tk6gXtja020,台中329元吃到飽 #吃到飽 #台中 #台中美食 #蒙古烤肉 #火鍋 #吃到飽推薦 #平價美食 #台中餐廳 #逢甲,,UCQJd1ml61TlWmhermCfDKCg,E ating,2026-05-14T13:20:59Z,22,,zh-Hant,PT34S,34,hd,False,17738,261.0,3.0,0,https://en.wikipedia.org/wiki/Food|https://en.wikipedia.org/wiki/Lifestyle_(sociology),2026-05-27T06:51:10.317309+00:00
apRvhQfj2kM,台中海南雞滷肉飯🤤#海南雞 #滷肉飯 #台中 #台中美食 #逢甲 #逢甲美食 #便當,,UCQJd1ml61TlWmhermCfDKCg,E ating,2026-05-13T13:28:10Z,22,,zh-Hant,PT18S,18,hd,False,18928,207.0,5.0,0,https://en.wikipedia.org/wiki/Food|https://en.wikipedia.org/wiki/Lifestyle_(sociology),2026-05-27T06:51:10.317309+00:00
wAwUz6o45AQ,酥酥胖胖甜不辣早餐🥳#早餐 #新莊 #新北 #新莊美食 #新北美食 #早午餐 #inshot,,UCQJd1ml61TlWmhermCfDKCg,E ating,2026-05-10T13:25:46Z,22,,zh-Hant,PT20S,20,hd,False,4129,56.0,0.0,0,https://en.wikipedia.org/wiki/Food|https://en.wikipedia.org/wiki/Lifestyle_(sociology),2026-05-27T06:51:10.317309+00:00
01JWvNbx0AQ,台中夏天必吃❤️#台中必吃 #古早味 #在地美食 #台中美食 #台灣美食 #taiwanfood #taichung #inshot,,UCQJd1ml61TlWmhermCfDKCg,E ating,2026-05-10T04:03:33Z,22,,zh-Hant,PT13S,13,hd,False,10286,100.0,1.0,0,https://en.wikipedia.org/wiki/Food|https://en.wikipedia.org/wiki/Lifestyle_(sociology),2026-05-27T06:51:10.317309+00:00
rBqO1quqepI,嘉義阿婆粉圓冰#嘉義 #嘉義美食 #台灣美食 #粉圓 #嘉義小吃 #冰品,,UCQJd1ml61TlWmhermCfDKCg,E ating,2026-05-09T04:44:20Z,22,,zh,PT15S,15,hd,False,55913,502.0,10.0,0,https://en.wikipedia.org/wiki/Food|https://en.wikipedia.org/wiki/Lifestyle_(sociology),2026-05-27T06:51:10.317309+00:00
Emg5HiOi-7Q,新北超佛麵包😳#新北 #新莊 #新北美食 #新莊美食 #麵包 #銅板美食,,UCQJd1ml61TlWmhermCfDKCg,E ating,2026-05-07T04:20:26Z,22,,zh-Hant,PT19S,19,hd,False,5993,68.0,3.0,0,https://en.wikipedia.org/wiki/Food|https://en.wikipedia.org/wiki/Lifestyle_(sociology),2026-05-27T06:51:10.317309+00:00
