channel_id,title,description,custom_url,country,published_at,view_count,subscriber_count,hidden_subscriber_count,video_count,uploads_playlist_id,fetched_at
UCA4a0MIEQqFWqukJ7Hha2LQ,曾舔舔🕊️,"歡迎來到【曾舔舔🕊️】頻道！
本頻道所有影片皆已獲得創作者正式授權。
原先更新於【俊鸿TV】的內容，未來將以獨立帳號形式發布。

這裡將持續更新：
🏀 實戰技巧
🔥 有料解析
🎥 籃球教學與高能內容

感謝大家一直以來的支持！
",@ehoozeng,HK,2025-11-28T14:04:11.705958Z,39625302,21800,False,269,UUA4a0MIEQqFWqukJ7Hha2LQ,2026-05-27T06:49:30.480239+00:00
UCUMKfMWKhH8bEZZ4qoNLk4Q,肖他,每天准时发影片！,@肖他11,TW,2024-12-19T02:25:43.049157Z,5061400,9770,False,113,UUUMKfMWKhH8bEZZ4qoNLk4Q,2026-05-27T06:49:30.480239+00:00
