video_id,title,description,channel_id,channel_title,published_at,category_id,tags,default_language,duration_iso,duration_sec,definition,caption,view_count,like_count,comment_count,favorite_count,topic_categories,fetched_at
AsC9v4wBO9c,Yeji一句話馬上引起抗議,#Itzy #있지 #채령 #chaeryeong #예지 #yeji,UCNIOWPGS9ICdCCgxmdGlx3A,kukuo 쿠쿠,2026-05-26T12:15:30Z,24,ITZY|禮智|彩領|yeji|chaeryeong,ko,PT22S,22,hd,False,56117,1027,7,0,https://en.wikipedia.org/wiki/Entertainment,2026-05-27T06:49:57.369503+00:00
7szh46ECyVo,彩領跟有娜的撒嬌都無可挑剔,#Itzy #있지 #채령 #chaeryeong #유나 #yuna #류진 #ryujin,UCNIOWPGS9ICdCCgxmdGlx3A,kukuo 쿠쿠,2026-05-25T12:45:35Z,24,Itzy|yuna|Chaeryeong|有娜|彩領,ko,PT22S,22,hd,False,212959,5381,37,0,https://en.wikipedia.org/wiki/Entertainment,2026-05-27T06:49:57.369503+00:00
8NMdC_U4CtA,彩領露出的表情也超真實,#Itzy #있지 #채령 #chaeryeong #lia #리아,UCNIOWPGS9ICdCCgxmdGlx3A,kukuo 쿠쿠,2026-05-24T12:35:10Z,24,Itzy|chaeryeong|lia|彩領,ko,PT38S,38,hd,False,905720,23879,90,0,https://en.wikipedia.org/wiki/Entertainment,2026-05-27T06:49:57.369503+00:00
XIq4_UVPFMw,Wonhee完全就是無害小動物,#illit #아일릿 #원희 #wonhee #이영지 #Youngji,UCNIOWPGS9ICdCCgxmdGlx3A,kukuo 쿠쿠,2026-05-23T12:00:18Z,24,illit|wonhee|沅禧|李泳知,ko,PT59S,59,hd,False,160415,4675,25,0,https://en.wikipedia.org/wiki/Entertainment,2026-05-27T06:49:57.369503+00:00
cfGGbpYlrdc,Lily每句都很真心就更好笑了,#nmixx #엔믹스 #릴리 #lily #해원 #haewon #설윤 #sullyoon #배이 #bae #지우 #jiwoo #규진 #kyujin #Chaeyeon,UCNIOWPGS9ICdCCgxmdGlx3A,kukuo 쿠쿠,2026-05-22T12:30:15Z,24,Nmixx|lily|haewon|chaeyeon|海嫄,ko,PT55S,55,hd,False,411154,11790,66,0,https://en.wikipedia.org/wiki/Entertainment,2026-05-27T06:49:57.369503+00:00
X8k4iGUgYw0,Yuna的演技真的很傳神,#Itzy #있지 #유나 #Yuna,UCNIOWPGS9ICdCCgxmdGlx3A,kukuo 쿠쿠,2026-05-21T12:45:30Z,24,Itzy|yuna|有娜,ko,PT57S,57,hd,False,337397,7563,55,0,https://en.wikipedia.org/wiki/Entertainment,2026-05-27T06:49:57.369503+00:00
7uVmk5eCi2I,Bae展現的好像是綜藝實力,#nmixx #엔믹스 #릴리 #lily #해원 #haewon #설윤 #sullyoon #배이 #bae #지우 #jiwoo #규진 #kyujin,UCNIOWPGS9ICdCCgxmdGlx3A,kukuo 쿠쿠,2026-05-20T12:30:24Z,24,Nmixx|bae|sullyoon|haewon,ko,PT30S,30,hd,False,151072,4716,27,0,https://en.wikipedia.org/wiki/Entertainment,2026-05-27T06:49:57.369503+00:00
A3xXo03ZX18,Jiwoo的吐槽抱怨太可愛,#nmixx #엔믹스 #릴리 #lily #해원 #haewon #설윤 #sullyoon #배이 #bae #지우 #jiwoo #규진 #kyujin,UCNIOWPGS9ICdCCgxmdGlx3A,kukuo 쿠쿠,2026-05-19T12:15:24Z,24,Nmixx|bae|jiwoo,ko,PT18S,18,hd,False,95615,2436,15,0,https://en.wikipedia.org/wiki/Entertainment,2026-05-27T06:49:57.369503+00:00
PXn_MMcGuy0,[NMIXX]  都快來陪啾聊天 中字直播精華 20260517,"[NMIXX]  都快來陪啾聊天 中字直播精華 20260517

直播來源:https://www.youtube.com/watch?v=_vltj95VZk4&t=8s
쮸 라방!

⚠️ 本影片為粉絲自行翻譯與剪輯
請勿擅自下載、重製、剪輯、二次上傳至任何平台
若需使用，請先取得本人同意
未經授權之轉載，將視情況檢舉處理
若有版權疑慮，將配合下架

⚠️본 영상은 팬이 직접 번역 및 편집한 콘텐츠입니다.
어떠한 플랫폼에서도 무단 다운로드, 복제, 편집, 재업로드를 금지합니다.
사용을 원하실 경우 반드시 사전 허가를 받아주시기 바랍니다.
허가 없는 무단 전재는 상황에 따라 신고 조치될 수 있습니다.
저작권 관련 문제가 있을 경우, 요청에 따라 즉시 삭제하겠습니다.

#nmixx #엔믹스 #지우 #jiwoo",UCNIOWPGS9ICdCCgxmdGlx3A,kukuo 쿠쿠,2026-05-18T13:45:06Z,24,Nmixx|jiwoo,ko,PT13M22S,802,hd,False,1748,146,15,0,https://en.wikipedia.org/wiki/Entertainment,2026-05-27T06:49:57.369503+00:00
7iALCGSRQNM,Bae很自信地再講一次但還是錯,#nmixx #엔믹스 #릴리 #lily #해원 #haewon #설윤 #sullyoon #배이 #bae #지우 #jiwoo #규진 #kyujin,UCNIOWPGS9ICdCCgxmdGlx3A,kukuo 쿠쿠,2026-05-18T12:10:00Z,24,Nmixx|bae|sullyoon|haewon,ko,PT38S,38,hd,False,25263,1161,5,0,https://en.wikipedia.org/wiki/Entertainment,2026-05-27T06:49:57.369503+00:00
